id,kota,jamCuaca,kodeCuaca,cuaca,humidity,tempC,tempF
Aceh Barat Daya_2023-11-20T00:00:00,Aceh Barat Daya,2023-11-20 00:00:00,1,Cerah Berawan,90,24,75
Aceh Barat Daya_2023-11-20T06:00:00,Aceh Barat Daya,2023-11-20 06:00:00,95,Hujan Petir,65,31,88
Aceh Barat Daya_2023-11-20T12:00:00,Aceh Barat Daya,2023-11-20 12:00:00,95,Hujan Petir,90,24,75
Aceh Barat Daya_2023-11-20T18:00:00,Aceh Barat Daya,2023-11-20 18:00:00,3,Berawan,95,23,73
Aceh Barat_2023-11-20T00:00:00,Aceh Barat,2023-11-20 00:00:00,3,Berawan,90,25,77
Aceh Barat_2023-11-20T06:00:00,Aceh Barat,2023-11-20 06:00:00,1,Cerah Berawan,65,32,90
Aceh Barat_2023-11-20T12:00:00,Aceh Barat,2023-11-20 12:00:00,95,Hujan Petir,90,25,77
Aceh Barat_2023-11-20T18:00:00,Aceh Barat,2023-11-20 18:00:00,3,Berawan,95,25,77
Aceh Besar_2023-11-20T00:00:00,Aceh Besar,2023-11-20 00:00:00,3,Berawan,90,22,72
Aceh Besar_2023-11-20T06:00:00,Aceh Besar,2023-11-20 06:00:00,3,Berawan,65,31,88
Aceh Besar_2023-11-20T12:00:00,Aceh Besar,2023-11-20 12:00:00,3,Berawan,90,23,73
Aceh Besar_2023-11-20T18:00:00,Aceh Besar,2023-11-20 18:00:00,3,Berawan,95,21,70
Aceh Jaya_2023-11-20T00:00:00,Aceh Jaya,2023-11-20 00:00:00,1,Cerah Berawan,90,24,75
Aceh Jaya_2023-11-20T06:00:00,Aceh Jaya,2023-11-20 06:00:00,60,Hujan Ringan,65,31,88
Aceh Jaya_2023-11-20T12:00:00,Aceh Jaya,2023-11-20 12:00:00,60,Hujan Ringan,90,24,75
Aceh Jaya_2023-11-20T18:00:00,Aceh Jaya,2023-11-20 18:00:00,95,Hujan Petir,95,24,75
